     , kalshi_id                           , practice_participation, injury_start_date, birth_date, gsis_id   , yahoo_id, fantasy_data_id, search_full_name           , espn_id  , height  , depth_chart_order, rotowire_id, swish_id , pandascore_id, active, high_school                                      , weight, birth_city, stats_id , sportradar_id                       , injury_body_part   , search_last_name  , opta_id, birth_country, full_name                    , status                      , team_abbr, sport, search_rank, age , team_changed_at, player_id, injury_notes, years_exp, oddsjam_id      , search_first_name, injury_status, fantasy_positions    , college                       , first_name    , metadata                                                                                                                                                    , number, practice_description          , rotoworld_id, hashtag                              , last_name          , depth_chart_position, competitions, position, birth_state, team, news_updated
7311 ,                                     ,                       ,                  , 1997-02-21,           ,  33318.0,         22303.0, javinwhite                 , 3921709.0, 74      ,                  ,     14902.0,  881687.0,              , True  , McClymonds (CA)                                  ,    211,           ,          , 3f95afdc-2140-424b-8250-7d4e273c2efc,                    , white             ,        ,              , Javin White                  , Active                      ,          , nfl  ,   9999999.0, 27.0,                , 7311     ,             ,       4.0, 8ADDCA292DD5    , javin            ,              , "['DB', 'LB']"       , UNLV                          , Javin         , "{'channel_id': '1116853366710861824', 'rookie_year': '2020'}"                                                                                              ,   60.0,                               ,             , #javinwhite-NFL-FA-60                , White              ,                     , []          , LB      ,            ,     , 1721609703351.0
2091 ,                                     ,                       ,                  , 1992-01-30, 00-0031052,  27630.0,         16407.0, bashaudbreeland            ,   16890.0, 71      ,                  ,      9648.0,  560235.0,              , True  , Allendale-Fairfax (SC)                           ,    197,           ,  560235.0, ba905b34-8412-4553-9055-3460368cc608,                    , breeland          ,        ,              , Bashaud Breeland             , Active                      ,          , nfl  ,   9999999.0, 30.0,                , 2091     ,             ,       8.0,                 , bashaud          ,              , ['DB']               , Clemson                       , Bashaud       , {'channel_id': '1116852779298586624'}                                                                                                                       ,   24.0,                               ,       9585.0, #bashaudbreeland-NFL-ARI-24          , Breeland           ,                     , []          , CB      ,            , ARI , 1641345029845.0
13175,                                     ,                       ,                  , 2000-07-27,           ,         ,                , kinkeaddent                ,          , 76      ,                  ,            ,          ,              , True  , Jackson Academy (MS)                             ,    215,           ,          , b1b21920-2b81-11f0-a7dc-b36f60eb4d60,                    , dent              ,        ,              , Kinkead Dent                 , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 13175    ,             ,       0.0,                 , kinkead          ,              , ['QB']               , Tennessee-Martin              , Kinkead       , "{'channel_id': '1225943136610562048', 'rookie_year': '0'}"                                                                                                 ,       ,                               ,             , #kinkeaddent-NFL-FA                  , Dent               ,                     , []          , QB      ,            ,     ,              
11533, 8ab98460-cf9f-4895-a793-c2deda5b200b,                       ,                  , 1995-03-14,           ,         ,                , brandonaubrey              ,          , 75      ,               1.0,     17649.0, 1454349.0,              , True  , Plano Senior (TX)                                ,    218,           ,          , 110e6fe0-1c34-11ee-8294-af17faac15de,                    , aubrey            ,        ,              , Brandon Aubrey               , Active                      ,          , nfl  ,       100.0, 30.0,                , 11533    ,             ,       2.0, 872D94B3727D    , brandon          ,              , ['K']                , Notre Dame                    , Brandon       , "{'channel_id': '1113708850915078145', 'rookie_year': '2023'}"                                                                                              ,   17.0,                               ,             , #brandonaubrey-NFL-DAL-17            , Aubrey             , K                   , []          , K       ,            , DAL , 1759171556761.0
2508 ,                                     ,                       ,                  , 1991-09-20,           ,  28595.0,         16967.0, amarloherrera              , 2578542.0, "6'1""" ,                  ,     10372.0,          ,              , False , North Clayton                                    ,    249,           ,          , faf5f854-73af-4ab9-8f19-95ea75431d45,                    , herrera           ,        ,              , Amarlo Herrera               , Inactive                    ,          , nfl  ,   9999999.0, 28.0,                , 2508     ,             ,       5.0,                 , amarlo           ,              , ['LB']               , Georgia                       , Amarlo        ,                                                                                                                                                             ,   56.0,                               ,             , #amarloherrera-NFL-FA-56             , Herrera            ,                     , []          , LB      ,            ,     ,              
2199 ,                                     ,                       ,                  , 1989-08-17, 00-0031255,  27923.0,         16570.0, kasimedebali               ,   17141.0, 74      ,                  ,      9378.0,          ,              , True  , Kimball Union (NH)                               ,    253,           ,  498200.0, 25a958c9-4035-43ad-8c9c-1309ea592e66,                    , edebali           ,        ,              , Kasim Edebali                , Inactive                    ,          , nfl  ,   9999999.0, 32.0,                , 2199     ,             ,       8.0,                 , kasim            ,              , "['DL', 'LB']"       , Boston College                , Kasim         , {'channel_id': '1116852786479235072'}                                                                                                                       ,   95.0,                               ,             , #kasimedebali-NFL-FA-95              , Edebali            ,                     , []          , DE      ,            ,     , 1572497732686.0
2881 ,                                     ,                       ,                  , 1992-01-29,           ,  29002.0,         17349.0, tylerslavin                , 2516911.0, "6'2""" ,                  ,     10861.0,          ,              , False ,                                                  ,    215,           ,  542556.0, f02407dd-c6d9-4c88-885b-0fcf87fcbb33,                    , slavin            ,        ,              , Tyler Slavin                 , Inactive                    ,          , nfl  ,   9999999.0, 26.0,                , 2881     ,             ,       1.0,                 , tyler            ,              , ['WR']               , New Mexico Highlands          , Tyler         ,                                                                                                                                                             ,   13.0,                               ,             , #tylerslavin-NFL-FA-13               , Slavin             ,                     , []          , WR      ,            ,     ,              
2064 , 8657e120-393b-46b0-bd01-5f2dd6b4aca1,                       ,                  , 1992-04-28, 00-0031411,  27562.0,         16366.0, demarcuslawrence           ,   16802.0, 75      ,               1.0,      9344.0,  651780.0,              , True  , Silver Bluff (SC)                                ,    254,           ,          , 3e3bd10a-6462-47f8-8938-42518781d060, Thigh              , lawrence          ,        ,              , DeMarcus Lawrence            , Active                      ,          , nfl  ,       570.0, 33.0,                , 2064     ,             ,      11.0, 4306CF8AB318    , demarcus         , Doubtful     , ['DL']               , Boise State                   , DeMarcus      , "{'channel_id': '1113708852156592128', 'rookie_year': '2014'}"                                                                                              ,    0.0,                               ,       9633.0, #demarcuslawrence-NFL-SEA-0          , Lawrence           , LOLB                , []          , DE      ,            , SEA , 1759190745155.0
1284 ,                                     ,                       ,                  , 1990-01-25,           ,  26064.0,         14731.0, lancedunbar                ,   15369.0, "5'8""" ,                  ,      8086.0,          ,              , False , Haltom (TX)                                      ,    187,           ,  468901.0, 9f0f0495-b5b8-45c2-866b-02d9f96087f7,                    , dunbar            ,        ,              , Lance Dunbar                 , Inactive                    ,          , nfl  ,   9999999.0, 30.0,                , 1284     ,             ,       8.0,                 , lance            ,              , ['RB']               , North Texas                   , Lance         ,                                                                                                                                                             ,   25.0,                               ,       7798.0, #lancedunbar-NFL-FA-25               , Dunbar             ,                     , []          , RB      ,            ,     , 1520632201229.0
2801 ,                                     ,                       ,                  , 1991-10-16, 00-0031511,  28800.0,         17269.0, deandrewwhite              , 2515962.0, 72      ,                  ,     10243.0,          ,              , True  , North Shore (TX)                                 ,    195,           ,  557177.0, e0abf267-f265-4682-9bb7-72bbcefda451, Undisclosed        , white             ,        ,              , DeAndrew White               , Inactive                    ,          , nfl  ,   9999999.0, 30.0,                , 2801     ,             ,       7.0,                 , deandrew         , Questionable , ['WR']               , Alabama                       , DeAndrew      , {'channel_id': '1116852821904326656'}                                                                                                                       ,   18.0,                               ,             , #deandrewwhite-NFL-FA-18             , White              ,                     , []          , WR      ,            ,     , 1598920530064.0
4501 ,                                     ,                       ,                  , 1992-10-13, 00-0033501,  30412.0,         19373.0, devaroelawrence            , 3121581.0, 74      ,                  ,     12173.0,  835146.0,              , True  , Carolina (SC)                                    ,    294,           ,          , 87c4b182-e4bc-4f35-97ec-8537a2665875,                    , lawrence          ,        ,              , Devaroe Lawrence             , Active                      ,          , nfl  ,      1257.0, 29.0,                , 4501     ,             ,       5.0,                 , devaroe          ,              , ['DL']               , Auburn                        , Devaroe       , {'channel_id': '1116852977559142400'}                                                                                                                       ,    0.0,                               ,             , #devaroelawrence-NFL-FA-0            , Lawrence           ,                     , []          , DT      ,            ,     , 1627877117922.0
5852 ,                                     ,                       ,                  , 1997-09-04, 00-0035684,  31862.0,         21020.0, deandrebaker               , 3915163.0, 71      ,                  ,     13475.0,  880521.0,              , True  , Miami Northwestern (FL)                          ,    186,           ,          , 02d1b3c3-f292-4174-89fa-9ecc6286adb0,                    , baker             ,        ,              , DeAndre Baker                , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 5852     ,             ,       3.0,                 , deandre          ,              , ['DB']               , Georgia                       , DeAndre       , {'channel_id': '1116853171138854912'}                                                                                                                       ,   30.0,                               ,             , #deandrebaker-NFL-FA-30              , Baker              ,                     , []          , CB      ,            ,     , 1660181717555.0
1073 ,                                     ,                       ,                  , 1989-10-19,           ,         ,         13881.0, taylorthompson             ,   15067.0, "6'6""" ,                  ,            ,          ,              , False ,                                                  ,    268,           ,  460898.0, c2c65162-07df-48fb-93ce-86f340afb688,                    , thompson          ,        ,              , Taylor Thompson              , Inactive                    ,          , nfl  ,   9999999.0, 27.0,                , 1073     ,             ,       3.0,                 , taylor           ,              , ['TE']               , SMU                           , Taylor        ,                                                                                                                                                             ,   84.0,                               ,             , #taylorthompson-NFL-FA-84            , Thompson           ,                     , []          , TE      ,            ,     ,              
3374 , d3ace602-f6d2-49e5-8f05-b9573ecabf9a,                       ,                  , 1993-11-30, 00-0032942,  29452.0,         18135.0, kevonseymour               , 2971603.0, 72      ,                  ,     11170.0,  691066.0,              , True  , Muir (CA)                                        ,    188,           ,  691066.0, e431a42b-5abe-49de-9c8c-f143f393591c, Undisclosed        , seymour           ,        ,              , Kevon Seymour                , Inactive                    ,          , nfl  ,   9999999.0, 31.0,                , 3374     ,             ,       9.0, 0B131E4B26AA    , kevon            , Questionable , ['DB']               , USC                           , Kevon         , "{'channel_id': '1116852856238899200', 'rookie_year': '2016'}"                                                                                              ,   29.0,                               ,             , #kevonseymour-NFL-FA-29              , Seymour            ,                     , []          , CB      ,            ,     , 1755740717239.0
8012 ,                                     ,                       ,                  , 1998-10-16,           ,         ,                , coreystraughter            ,          , 70      ,                  ,     15702.0, 1067387.0,              , True  , Neville (LA)                                     ,    183,           ,          , a01a9064-c0c3-4f3e-8753-89f5859879f9,                    , straughter        ,        ,              , Corey Straughter             , Active                      ,          , nfl  ,            , 23.0,                , 8012     ,             ,       1.0,                 , corey            ,              , ['DB']               , Louisiana-Monroe              , Corey         , {'channel_id': '1116853451070898176'}                                                                                                                       ,    0.0,                               ,             , #coreystraughter-NFL-FA-0            , Straughter         ,                     , []          , CB      ,            ,     ,              
7918 ,                                     ,                       ,                  , 1997-10-14,           ,         ,                , ajrose                     ,          , 73      ,                  ,     15350.0,  920059.0,              , True  , Garfield Heights (OH)                            ,    212,           ,          , aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,                    , rose              ,        ,              , A.J. Rose                    , Active                      ,          , nfl  ,       311.0, 24.0,                , 7918     ,             ,       1.0,                 , aj               ,              , ['RB']               , Kentucky                      , A.J.          , {'channel_id': '1116853435631665152'}                                                                                                                       ,   24.0,                               ,             , #ajrose-NFL-FA-24                    , Rose               ,                     , []          , RB      ,            ,     , 1661021115529.0
777  ,                                     ,                       ,                  , 1982-06-25,           ,   7588.0,         12610.0, erikpears                  ,    9399.0, "6'8""" ,                  ,      7124.0,          ,              , False , John F. Kennedy (CO)                             ,    316,           ,          , dc310df5-3ada-4b4f-8f79-2db2cc603ff8,                    , pears             ,        ,              , Erik Pears                   , Inactive                    ,          , nfl  ,   9999999.0, 38.0,                , 777      ,             ,      15.0,                 , erik             ,              , ['OL']               , Colorado State                , Erik          ,                                                                                                                                                             ,   71.0,                               ,             , #erikpears-NFL-FA-71                 , Pears              ,                     , []          , T       ,            ,     ,              
13229, 7b611cb8-466d-4ebe-8f89-c68258095c93,                       ,                  ,           ,           ,         ,                , decariushawthorne          ,          , 74      ,                  ,     19197.0,          ,              , True  , Center Point (AL)                                ,    290,           ,          , 3e838e40-4637-11f0-8b96-73caf6d6c117,                    , hawthorne         ,        ,              , Decarius Hawthorne           , Active                      ,          , nfl  ,   9999999.0,     ,                , 13229    ,             ,       0.0,                 , decarius         ,              , ['DL']               , South Florida                 , Decarius      , "{'channel_id': '1238264321964769280', 'rookie_year': '2025'}"                                                                                              ,   92.0,                               ,             , #decariushawthorne-NFL-FA-92         , Hawthorne          ,                     , []          , DL      ,            ,     , 1756107953603.0
5428 ,                                     ,                       ,                  , 1993-12-03,           ,  31388.0,         20526.0, rickyjeune                 , 3055908.0, 75      ,                  ,     13096.0,          ,              , True  , Saint Joseph Regional (NJ)                       ,    212,           ,  748570.0, e5395ca3-47d0-403b-84f5-41bfeba78e67,                    , jeune             ,        ,              , Ricky Jeune                  , Active                      ,          , nfl  ,   9999999.0, 28.0,                , 5428     ,             ,       4.0,                 , ricky            ,              , ['WR']               , Georgia Tech                  , Ricky         , {'channel_id': '1116853100703907840'}                                                                                                                       ,    2.0,                               ,             , #rickyjeune-NFL-FA-2                 , Jeune              ,                     , []          , WR      ,            ,     , 1535476203701.0
1982 ,                                     ,                       ,                  , 1991-10-02, 00-0031259,  27642.0,         16249.0, aaroncolvin                ,   16900.0, 72      ,                  ,      9337.0,          ,              , True  , Owasso (OK)                                      ,    191,           ,  542873.0, 76c630cf-0fd3-4210-a73d-9347da9d9d66,                    , colvin            ,        ,              , Aaron Colvin                 , Active                      ,          , nfl  ,   9999999.0, 30.0,                , 1982     ,             ,       8.0,                 , aaron            ,              , ['DB']               , Oklahoma                      , Aaron         , {'channel_id': '1116852771618816000'}                                                                                                                       ,   34.0,                               ,       9348.0, #aaroncolvin-NFL-FA-34               , Colvin             ,                     , []          , CB      ,            ,     , 1599351058114.0
12376,                                     ,                       ,                  ,           ,           ,         ,                , marquiswilson              ,          , 71      ,                  ,            ,          ,              , True  , Avon Old Farms (CT)                              ,    185,           ,          , 07923890-0e3a-11ef-9a4a-c565d3259077,                    , wilson            ,        ,              , Marquis Wilson               , Active                      ,          , nfl  ,   9999999.0,     ,                , 12376    ,             ,       1.0,                 , marquis          ,              , ['DB']               , Purdue                        , Marquis       , "{'channel_id': '1116852724273512448', 'rookie_year': '2024'}"                                                                                              ,       ,                               ,             , #marquiswilson-NFL-FA                , Wilson             ,                     , []          , DB      ,            ,     ,              
7882 ,                                     ,                       ,                  , 1998-01-22,           ,         ,                , christianuphoff            ,          , 75      ,                  ,     15476.0,  943834.0,              , True  , Washington (IL)                                  ,    195,           ,          , 2b02fad4-574c-4a40-ab7d-43aca2142b66,                    , uphoff            ,        ,              , Christian Uphoff             , Active                      ,          , nfl  ,            , 23.0,                , 7882     ,             ,       1.0,                 , christian        ,              , ['DB']               , Illinois State                , Christian     , {'channel_id': '1116853428480376832'}                                                                                                                       ,    0.0,                               ,             , #christianuphoff-NFL-FA-0            , Uphoff             ,                     , []          , DB      ,            ,     ,              
8733 , 4c9cd475-5b22-4560-959d-52b91a7344cd,                       ,                  , 1999-01-04,           ,         ,                , jakehummel                 ,          , 73      ,               2.0,     16270.0, 1058624.0,              , True  , Dowling Catholic (IA)                            ,    235,           ,          , 0c7ceb00-d207-11ec-ab20-b37737d70cc4,                    , hummel            ,        ,              , Jake Hummel                  , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 8733     ,             ,       3.0, 6592B272CCBB    , jake             ,              , ['LB']               , Iowa State                    , Jake          , "{'channel_id': '1113708701300060160', 'rookie_year': '2022'}"                                                                                              ,   35.0,                               ,             , #jakehummel-NFL-BAL-35               , Hummel             , RILB                , []          , LB      ,            , BAL , 1753806622728.0
13221, b78d326c-47b1-4197-bfba-8e3c393cbd39,                       ,                  , 2000-08-04,           ,         ,                , brettgabbert               ,          , 72      ,                  ,     19192.0,          ,              , True  , Christian Brothers College (MO)                  ,    206,           ,          , 08f0fef0-3748-11f0-9677-41d005293433,                    , gabbert           ,        ,              , Brett Gabbert                , Active                      ,          , nfl  ,       999.0, 24.0,                , 13221    ,             ,       0.0, 0D57BED3D0B2DB99, brett            ,              , ['QB']               , Miami (OH)                    , Brett         , "{'channel_id': '1231394003711180800', 'rookie_year': '0'}"                                                                                                 ,   16.0,                               ,             , #brettgabbert-NFL-FA-16              , Gabbert            ,                     , []          , QB      ,            ,     , 1754250907948.0
11522,                                     ,                       ,                  , 1999-04-07,           ,         ,                , jeromekapp                 ,          , 75      ,                  ,     17644.0, 1448292.0,              , True  , Boyertown Area Senior (PA)                       ,    210,           ,          , 64c0ef00-fa65-11ed-b161-c5ef733b4e80,                    , kapp              ,        ,              , Jerome Kapp                  , Active                      ,          , nfl  ,       622.0, 24.0,                , 11522    ,             ,       1.0,                 , jerome           ,              , ['WR']               , Kutztown                      , Jerome        , {'channel_id': '1116852698889584640'}                                                                                                                       ,   31.0,                               ,             , #jeromekapp-NFL-FA-31                , Kapp               ,                     , []          , WR      ,            ,     , 1693334405078.0
2474 ,                                     ,                       ,                  , 1993-02-17, 00-0031598,  28559.0,         16931.0, nickboyle                  , 2574591.0, 76      ,                  ,     10252.0,  608753.0,              , True  , High Point Regional (NJ)                         ,    261,           ,  608753.0, 9480dd9f-151f-4e6d-b5a3-35f07bda4cac,                    , boyle             ,        ,              , Nick Boyle                   , Active                      ,          , nfl  ,   9999999.0, 29.0,                , 2474     ,             ,       8.0,                 , nick             ,              , ['TE']               , Delaware                      , Nick          , {'channel_id': '1116852808646131712'}                                                                                                                       ,   86.0,                               ,      10547.0, #nickboyle-NFL-FA-86                 , Boyle              ,                     , []          , TE      ,            ,     , 1673388617497.0
8852 ,                                     ,                       ,                  , 1999-05-07,           ,         ,                , tyclary                    ,          , 76      ,                  ,            , 1060719.0,              , True  , Fayetteville (AR)                                ,    299,           ,          , c22d7080-d3b2-11ec-96a0-c3471a31202c,                    , clary             ,        ,              , Ty Clary                     , Active                      ,          , nfl  ,   9999999.0, 25.0,                , 8852     ,             ,       0.0,                 , ty               ,              , ['OL']               , Arkansas                      , Ty            , "{'channel_id': '1116853538769600512', 'rookie_year': ''}"                                                                                                  ,    0.0,                               ,             , #tyclary-NFL-FA-0                    , Clary              ,                     , []          , OL      ,            ,     ,              
8809 , 5933b078-dcce-4bfe-9d7f-a50bac96cfe3,                       ,                  , 1999-10-18,           ,         ,                , aaronshampklin             ,          , 70      ,                  ,     16367.0, 1051044.0,              , True  , Long Beach Polytechnic (CA)                      ,    195,           ,          , c09be300-d30d-11ec-8b77-45b1765fd110,                    , shampklin         ,        ,              , Aaron Shampklin              , Active                      ,          , nfl  ,       672.0, 25.0,                , 8809     ,             ,       3.0, 8C27E3A10D7A    , aaron            ,              , ['RB']               , Harvard                       , Aaron         , "{'channel_id': '1113708820732866560', 'rookie_year': '2022'}"                                                                                              ,   48.0,                               ,             , #aaronshampklin-NFL-FA-48            , Shampklin          ,                     , []          , RB      ,            ,     , 1756225808845.0
9487 , 6599a162-f520-46bf-8858-83777c92bd54,                       ,                  , 2002-03-21,           ,         ,                , parkerwashington           ,          , 70      ,               4.0,     16690.0, 1229074.0,              , True  , Travis (TX)                                      ,    204,           ,          , c05863ec-3414-4ae6-a8d2-830aed99b6d3,                    , washington        ,        ,              , Parker Washington            , Active                      ,          , nfl  ,       444.0, 23.0,                , 9487     ,             ,       2.0, 6C394246A6D8    , parker           ,              , ['WR']               , Penn State                    , Parker        , "{'channel_id': '1113708892983947264', 'rookie_year': '2023'}"                                                                                              ,   11.0,                               ,             , #parkerwashington-NFL-JAX-11         , Washington         , SWR                 , []          , WR      ,            , JAX , 1759127452906.0
6923 , 8501baf3-7e07-4cad-b179-fff54a63eb89,                       ,                  , 1999-04-19,           ,  32889.0,         21931.0, genostone                  , 4240575.0, 71      ,               1.0,     14474.0, 1059222.0,              , True  , New Castle (PA)                                  ,    210,           ,          , 95f3b8ac-e10f-4f0d-8650-b464b37ded86,                    , stone             ,        ,              , Geno Stone                   , Active                      ,          , nfl  ,       624.0, 26.0,                , 6923     ,             ,       5.0, 403AA74AF980    , geno             ,              , ['DB']               , Iowa                          , Geno          , "{'channel_id': '1113708806937800704', 'rookie_year': '2020'}"                                                                                              ,   22.0,                               ,             , #genostone-NFL-CIN-22                , Stone              , FS                  , []          , DB      ,            , CIN , 1759231850161.0
1907 ,                                     ,                       ,                  , 1992-12-06,           ,  27550.0,         16135.0, johnnymanziel              ,   16736.0, "6'0""" ,                  ,      9246.0,          ,              , False , Tivy (TX)                                        ,    210,           ,  593578.0, 7ebbfdef-1185-4896-a323-e6d5669a8345,                    , manziel           ,        ,              , Johnny Manziel               , Inactive                    ,          , nfl  ,   9999999.0, 27.0,                , 1907     ,             ,       6.0,                 , johnny           ,              , ['QB']               , Texas A&M                     , Johnny        ,                                                                                                                                                             ,    2.0,                               ,       9271.0, #johnnymanziel-NFL-FA-2              , Manziel            ,                     , []          , QB      ,            ,     , 1552834853016.0
